"","gamma","lambda","Swi","ConfLevel"
"1",0,0,1.10718607023632,0.001
"2",0,0.01,1.16188922476956,0.001
"3",0,0.02,1.19732059389075,0.001
"4",0,0,1.10619552510694,0.001
"5",0,0.01,1.16007148654471,0.001
"6",0,0.02,1.20425502214315,0.001
"7",0,0,1.10872652609044,0.001
"8",0,0.01,1.16012227677927,0.001
"9",0,0.02,1.20259634982216,0.001
"10",0,0,1.10791814511973,0.001
"11",0,0.01,1.15976199996717,0.001
"12",0,0.02,1.19994971591916,0.001
"13",0,0,1.10636709067453,0.01
"14",0,0.01,1.15961130736809,0.001
"15",0,0.02,1.19892247585359,0.001
"16",0,0,1.10811001543877,0.001
"17",0,0.01,1.15989750251355,0.001
"18",0,0.02,1.20045136256487,0.001
"19",0,0,1.10780259692819,0.001
"20",0,0.01,1.16077562596619,0.001
"21",0,0.02,1.2009602420302,0.001
"22",0,0,1.10737696089935,0.001
"23",0,0.01,1.16014803798156,0.001
"24",0,0.02,1.20131736977174,0.001
"25",0,0,1.10821873230482,0.001
"26",0,0.01,1.16068654466077,0.001
"27",0,0.02,1.20287664976235,0.001
"28",0,0,1.10782470314325,0.001
"29",0,0.01,1.16031107123331,0.001
"30",0,0.02,1.20318373943116,0.001
"31",0,0,1.10678546066567,0.001
"32",0,0.01,1.15923545846451,0.001
"33",0,0.02,1.20042589129813,0.001
